,learning_rate,max_depth,n_estimators,objective,NDCG
0,0.3,30,300,rank:pairwise,0.38339181468857897
0,0.3,10,110,rank:pairwise,0.3833882745923064
0,0.4,20,500,rank:map,0.38323601307057775
0,0.3,30,150,rank:ndcg,0.3832238306671137
0,0.025,30,110,rank:map,0.3832000399287284
0,0.3,10,150,rank:map,0.3831103343118565
0,0.4,20,300,rank:map,0.3830482400805274
0,0.4,30,150,rank:map,0.3828411969861593
0,0.1,15,110,rank:pairwise,0.3827951362100405
0,0.3,20,150,rank:ndcg,0.3827685130721791
0,0.3,30,300,rank:ndcg,0.3826871423340363
0,0.4,30,110,rank:map,0.3824691727659485
0,0.3,30,200,rank:map,0.38236607180649257
0,0.3,20,200,rank:ndcg,0.3821209878799244
0,0.4,20,150,rank:map,0.3819571741297226
0,0.3,10,200,rank:ndcg,0.3819502622739824
0,0.3,20,110,rank:ndcg,0.3818530405607215
0,0.3,12,500,rank:ndcg,0.3818382842697572
0,0.3,15,500,rank:ndcg,0.3818256293063217
0,0.3,15,300,rank:ndcg,0.3813917341124733
0,0.4,8,300,rank:ndcg,0.3812318867728875
0,0.4,20,200,rank:map,0.3812307247095442
0,0.3,15,200,rank:map,0.3811591696466661
0,0.3,15,300,rank:map,0.38115601186238457
0,0.01,30,150,rank:pairwise,0.3810766178808898
0,0.3,15,200,rank:ndcg,0.3810288914106712
0,0.3,10,200,rank:map,0.3807590875209631
0,0.025,30,110,rank:pairwise,0.38069255195181145
0,0.3,30,500,rank:pairwise,0.3804690038273255
0,0.3,8,500,rank:pairwise,0.38037056886019655
0,0.3,30,110,rank:ndcg,0.3803507896684943
0,0.4,30,200,rank:ndcg,0.38025963057957823
0,0.3,30,150,rank:map,0.3800931916683125
0,0.3,30,200,rank:pairwise,0.3799318868594461
0,0.4,8,300,rank:map,0.3798537887402504
0,0.3,12,300,rank:ndcg,0.3798404160713087
0,0.3,20,300,rank:pairwise,0.3797921699929417
0,0.4,20,150,rank:ndcg,0.379668894587019
0,0.4,20,110,rank:map,0.3795821937326466
0,0.3,30,300,rank:map,0.3795460675084471
0,0.4,10,150,rank:map,0.3794984900662846
0,0.4,20,200,rank:ndcg,0.379431806333945
0,0.3,12,500,rank:map,0.3793745837826778
0,0.3,30,500,rank:map,0.3791012595987895
0,0.4,30,500,rank:ndcg,0.3790215699460792
0,0.3,15,150,rank:map,0.3789185217946425
0,0.3,10,500,rank:ndcg,0.3786738918122029
0,0.3,15,150,rank:ndcg,0.37859179258763065
0,0.4,10,110,rank:ndcg,0.37848259455796346
